query_text,category
My KYC documents were rejected. What should I do?,KYC
My account is showing a negative balance even though I did not overdraw.,Account Access
My credit card was used online without my knowledge.,Fraud/Unauthorized
I received an OTP for a transaction I never initiated.,Fraud/Unauthorized
I want to add a joint account holder.,Account Access
My Aadhaar details are not matching during verification.,KYC
There is an ATM withdrawal from a city where I am not located.,Fraud/Unauthorized
I want to restructure my loan because of financial difficulties.,Loan
Can I reduce my monthly EMI by extending the loan tenure?,Loan
My Aadhaar details are not matching during verification.,KYC
When will my loan amount be disbursed?,Loan
Can I reduce my monthly EMI by extending the loan tenure?,Loan
How can I check my outstanding loan balance?,Loan
How can I check the status of my KYC verification?,KYC
I need to reset my internet banking login credentials.,Account Access
Why did my loan EMI increase this month?,Loan
There is a cash withdrawal on my account that I did not make.,Fraud/Unauthorized
I received a payment alert for a transaction I never requested.,Fraud/Unauthorized
Why is my KYC verification taking so long?,KYC
An unknown online purchase has appeared on my credit card.,Fraud/Unauthorized
When will my account be unfrozen after KYC submission?,KYC
Why is my KYC verification taking so long?,KYC
My personal loan was approved but the amount has not arrived.,Loan
My cheque was returned even though I had enough balance.,Account Access
I want to know the remaining tenure of my loan.,Loan
I would like to to correct my name in the KYC records.,KYC
My address has changed and I'd like to update it in KYC.,KYC
I want to restructure my loan because of financial difficulties.,Loan
What is the current status of my home loan application?,Loan
My debit card details may have been used by someone else.,Fraud/Unauthorized
I want to know whether I am eligible for a home loan.,Loan
I cannot access my account after changing my phone.,Account Access
Do I need to visit a branch to complete KYC?,KYC
I need to update my mobile number for KYC.,KYC
" I don't recognize a transaction on my account for ₹1,500.",Fraud/Unauthorized
My account is showing a negative balance even though I did not overdraw.,Account Access
An unknown debit card transaction appears on my statement.,Fraud/Unauthorized
I received a payment alert for a transaction I never requested.,Fraud/Unauthorized
Money was deducted from my account without my approval.,Fraud/Unauthorized
I cannot access my account after changing my phone.,Account Access
What documents are required for a personal loan?,Loan
Why has my loan application been delayed?,Loan
My banking app is not allowing me to sign in.,Account Access
How can I check the status of my KYC verification?,KYC
I received an OTP for a transaction I never initiated.,Fraud/Unauthorized
I would like to to update my mobile number for KYC.,KYC
An unknown debit card transaction appears on my statement.,Fraud/Unauthorized
I received a message asking me to update my KYC.,KYC
I forgot my net banking password and need to reset it.,Account Access
My loan repayment is showing incorrectly in the account.,Loan
I am being charged for a subscription I never signed up for.,Fraud/Unauthorized
My account is showing a negative balance even though I did not overdraw.,Account Access
Money was deducted from my account without my approval.,Fraud/Unauthorized
Money was deducted from my account without my approval.,Fraud/Unauthorized
I received a payment alert for a transaction I never requested.,Fraud/Unauthorized
Why was my NEFT transfer delayed?,Account Access
What documents can I submit for KYC verification?,KYC
My KYC verification failed even though I submitted valid documents.,KYC
I was charged twice for the same purchase.,Fraud/Unauthorized
My account is frozen because my KYC is incomplete.,KYC
I was charged twice for the same purchase.,Fraud/Unauthorized
My PAN verification is failing during KYC.,KYC
My KYC documents were rejected. What should I do?,KYC
My online banking account has been locked.,Account Access
I received a payment alert for a transaction I never requested.,Fraud/Unauthorized
I want to know which identity proof is accepted for KYC.,KYC
My online banking account has been locked.,Account Access
My net banking credentials are not working.,Account Access
There is an ATM withdrawal from a city where I am not located.,Fraud/Unauthorized
I want to know whether I am eligible for a home loan.,Loan
I missed an EMI payment and need help with the loan.,Loan
My UPI account was used to send money without my permission.,Fraud/Unauthorized
My debit card details may have been used by someone else.,Fraud/Unauthorized
My loan repayment is showing incorrectly in the account.,Loan
I want to know the foreclosure charges for my loan.,Loan
My UPI account was used to send money without my permission.,Fraud/Unauthorized
I'm being charged for a subscription I never signed up for.,Fraud/Unauthorized
I see an unauthorized payment in my recent transactions.,Fraud/Unauthorized
Why has my account been frozen for KYC reasons?,KYC
A UPI transfer was made from my account without my consent.,Fraud/Unauthorized
When will my loan amount be disbursed?,Loan
I want to add a joint account holder.,Account Access
Someone made a card payment that I did not authorize.,Fraud/Unauthorized
I noticed several small transactions that I do not recognize.,Fraud/Unauthorized
Can I update my KYC details through net banking?,KYC
I want to know the foreclosure charges for my loan.,Loan
I suspect someone has accessed my banking account.,Fraud/Unauthorized
My debit card details may have been used by someone else.,Fraud/Unauthorized
How can I complete my KYC online?,KYC
An unknown debit card transaction appears on my statement.,Fraud/Unauthorized
I'd like to add a joint account holder.,Account Access
I forgot my internet banking PIN.,Account Access
What is the current status of my home loan application?,Loan
My online banking account has been locked.,Account Access
I want to add a joint account holder.,Account Access
I need help unlocking my online banking account.,Account Access
I forgot my net banking password and need to reset it.,Account Access
My recent transactions are missing from the mobile application.,Account Access
The mobile banking app keeps logging me out.,Account Access
What documents are required for a personal loan?,Loan
I see an unfamiliar merchant charge on my bank statement.,Fraud/Unauthorized
My loan repayment is showing incorrectly in the account.,Loan
I need to reset my internet banking login credentials.,Account Access
I'd like to restructure my loan because of financial difficulties.,Loan
I want to know which identity proof is accepted for KYC.,KYC
My account is showing a negative balance even though I did not overdraw.,Account Access
I suspect someone has accessed my banking account.,Fraud/Unauthorized
My loan repayment is showing incorrectly in the account.,Loan
How do I get a copy of my loan statement?,Loan
My recent transactions are missing from the mobile application.,Account Access
I want to restructure my loan because of financial difficulties.,Loan
I see an unauthorized payment in my recent transactions.,Fraud/Unauthorized
I am having trouble accessing my bank account online.,Account Access
How do I get a copy of my loan statement?,Loan
My debit card details may have been used by someone else.,Fraud/Unauthorized
How do I get a copy of my loan statement?,Loan
Why has my account been frozen for KYC reasons?,KYC
My loan application is still under review. What is the delay?,Loan
Why did my loan EMI increase this month?,Loan
When will my loan amount be disbursed?,Loan
I received a message asking me to update my KYC.,KYC
Why was my NEFT transfer delayed?,Account Access
My banking app is not allowing me to sign in.,Account Access
I cannot access my banking account through the mobile app.,Account Access
Can I reduce my monthly EMI by extending the loan tenure?,Loan
My account is frozen because my KYC is incomplete.,KYC
My KYC verification failed even though I submitted valid documents.,KYC
I am unable to log in to my net banking account.,Account Access
The mobile banking app keeps logging me out.,Account Access
I need to update my mobile number for KYC.,KYC
How can I check my outstanding loan balance?,Loan
Why has my account been frozen for KYC reasons?,KYC
I cannot access my account after changing my phone.,Account Access
My PAN and bank account details are not matching.,KYC
I noticed several small transactions that I do not recognize.,Fraud/Unauthorized
My UPI account was used to send money without my permission.,Fraud/Unauthorized
I cannot view my account balance through the app.,Account Access
My PAN verification is failing during KYC.,KYC
My cheque was returned even though I had enough balance.,Account Access
I cannot access my banking account through the mobile app.,Account Access
I am unable to log in to my net banking account.,Account Access
Can I make a partial prepayment on my loan?,Loan
" I don't recognize a transaction on my account for ₹2,000.",Fraud/Unauthorized
An unknown online purchase has appeared on my credit card.,Fraud/Unauthorized
I see an unauthorized payment in my recent transactions.,Fraud/Unauthorized
My PAN and bank account details are not matching.,KYC
My credit card was used online without my knowledge.,Fraud/Unauthorized
I would like to help unlocking my online banking account.,Account Access
Can I update my KYC details through net banking?,KYC
My KYC documents were rejected. What should I do?,KYC
There is an ATM withdrawal from a city where I am not located.,Fraud/Unauthorized
How do I get a copy of my loan statement?,Loan
My KYC documents were rejected. What should I do?,KYC
Can I change the EMI date for my loan?,Loan
What documents are required for a personal loan?,Loan
There is an ATM withdrawal from a city where I am not located.,Fraud/Unauthorized
My Aadhaar details are not matching during verification.,KYC
I suspect someone has accessed my banking account.,Fraud/Unauthorized
My Aadhaar details are not matching during verification.,KYC
My PAN verification is failing during KYC.,KYC
How long does loan approval usually take?,Loan
When will my account be unfrozen after KYC submission?,KYC
How long does loan approval usually take?,Loan
I forgot my internet banking PIN.,Account Access
What is the current status of my home loan application?,Loan
How can I complete my KYC online?,KYC
My KYC verification failed even though I submitted valid documents.,KYC
My account access was blocked after several failed login attempts.,Account Access
How can I check my outstanding loan balance?,Loan
