query_text,risk_category
My bank transfer was not processed. Please provide the relevant information.,General
My banking application is not visible in the app. Can you help me with this banking service.,General
Someone transferred money from my account without my approval. The transaction appeared this morning. Please help me dispute the transaction.,Fraud
I found an unknown payment in my statement. I have never made this type of payment. Please guide me on the next steps.,Fraud
Someone used my credit card without my permission. I do not know who initiated the transaction. Please help me raise a fraud complaint.,Fraud
My Aadhaar verification needs to be updated. Please explain what information I should provide.,Sensitive
My cheque clearance is showing an error. I need instructions for this service.,General
My identity verification requires additional documents. Can you tell me why it is pending.,Sensitive
My ATM PIN was not processed. I need instructions for this service.,General
Someone used my debit card without my permission. I noticed it while reviewing my transaction history. I need to secure my account.,Fraud
My identity verification requires additional documents. Please tell me which documents are required.,Sensitive
My mobile banking login is unavailable right now. Please provide the relevant information.,General
My KYC verification is showing as incomplete. Please help me complete the process.,Sensitive
My salary credit is unavailable right now. I need instructions for this service.,General
I noticed an unauthorized transaction on my account. I noticed it while reviewing my transaction history. I want to prevent any further unauthorized activity.,Fraud
My bank statement is taking longer than expected. Please tell me how to resolve this.,General
My internet banking password needs to be updated. Can you guide me through the process.,General
My Aadhaar verification is under review. Please help me complete the process.,Sensitive
Money was withdrawn from my account without authorization. The payment appeared in my latest statement. Please help me dispute the transaction.,Fraud
I believe my card details have been compromised. The transaction was made while I had my card with me. Please guide me on the next steps.,Fraud
My net banking login needs to be updated. I need instructions for this service.,General
My registered mobile number was not processed. Please explain how this service works.,General
My ATM withdrawal is unavailable right now. Can you guide me through the process.,General
My transaction history has not been reflected yet. Can you help me with this banking service.,General
My transaction history is showing an error. I would like to know the procedure.,General
Someone transferred money from my account without my approval. The payment is unfamiliar to me. I want to prevent any further unauthorized activity.,Fraud
My ATM PIN has not been reflected yet. Can you explain the steps to fix it.,General
My banking application is unavailable right now. Please tell me how to resolve this.,General
My communication address is not working. Can you guide me through the process.,General
My NEFT transfer is not working. I need instructions for this service.,General
My banking application is taking longer than expected. I would like to know the procedure.,General
My home loan application requires additional documents. I would like an update on the application.,Sensitive
My net banking login is not working. Can you guide me through the process.,General
My cheque book request needs clarification. I need instructions for this service.,General
I found an unknown payment in my statement. The payment appeared in my latest statement. Please tell me how to report this immediately.,Fraud
Someone used my credit card without my permission. The payment appeared in my latest statement. Please tell me how to block the affected card.,Fraud
Money was withdrawn from my account without authorization. The amount is not something I authorized. I want to prevent any further unauthorized activity.,Fraud
There is a suspicious UPI transfer in my account. I have never made this type of payment. Please tell me how to report this immediately.,Fraud
My cheque clearance was not processed. What should I do next.,General
I do not recognize a recent card payment. The payment appeared in my latest statement. Please tell me how to block the affected card.,Fraud
My mobile banking login is taking longer than expected. Please explain how this service works.,General
I noticed an unauthorized transaction on my account. The transaction was made while I had my card with me. Please tell me how to block the affected card.,Fraud
My mobile banking password is not working. Please tell me how to resolve this.,General
My home loan application has not been completed yet. Can you tell me why it is pending.,Sensitive
My mobile banking login is taking longer than expected. Please provide the relevant information.,General
Someone used my debit card without my permission. The transaction was made while I had my card with me. Please guide me on the next steps.,Fraud
Someone transferred money from my account without my approval. The transaction appeared this morning. I need to secure my account.,Fraud
I noticed an unauthorized transaction on my account. I do not know who initiated the transaction. I want to prevent any further unauthorized activity.,Fraud
