query_text,risk_category
I need help regarding KYC is showing as incomplete,Sensitive
Please help me with update my KYC details,Sensitive
Can you help me with debit card details may have been stolen,Fraud
Please provide information about check account balance,General
I need help regarding business loan application needs verification,Sensitive
Please help me with update my KYC details,Sensitive
Please help me with unknown person used my card,Fraud
Please provide information about unauthorized payment in my account,Fraud
forgot internet banking password,General
credit card charged for something I did not buy,Fraud
Can you help me with KYC verification was unsuccessful,Sensitive
Can you help me with salary credit is delayed,General
I need help regarding verify my identity for my account,Sensitive
forgot internet banking password,General
Can you help me with unauthorized transaction on my account,Fraud
Please help me with NRI account KYC is expiring next month,Sensitive
Please provide information about loan application is pending,Sensitive
Please help me with KYC documents need to be updated,Sensitive
I need help regarding I noticed a fraudulent transaction,Fraud
my card was used by someone else,Fraud
I need help regarding transfer money between my accounts,General
I need help regarding unknown UPI transaction,Fraud
Please provide information about loan application is pending,Sensitive
help with KYC verification,Sensitive
Please provide information about I did not make this transaction,Fraud
Can you help me with account is showing negative balance,General
Please help me with NRI account KYC is expiring next month,Sensitive
account verification is pending,Sensitive
Can you help me with suspicious transaction in my statement,Fraud
I need help regarding verify my identity for my account,Sensitive
Can you help me with salary credit is delayed,General
Please provide information about I did not make this transaction,Fraud
I need help regarding ATM transaction was declined,General
Please provide information about check my account balance,General
account verification is pending,Sensitive
Please provide information about unauthorized online purchase,Fraud
Can you help me with cheque is taking long to clear,General
activate my debit card,General
Please help me with download my bank statement,General
I need help regarding ATM transaction was declined,General
I need help regarding ATM transaction was declined,General
Please help me with check transaction history,General
Please help me with update my KYC details,Sensitive
unable to login to net banking,General
Can you help me with salary credit is delayed,General
I need help regarding update my mobile number,General
Please provide information about how long loan verification takes,Sensitive
Please provide information about loan application is pending,Sensitive
Please help me with someone transferred money without permission,Fraud
Please help me with KYC documents need to be updated,Sensitive
someone used my credit card online without permission,Fraud
Please provide information about I did not make this transaction,Fraud
Please provide information about documents needed for loan,Sensitive
change communication address,General
Can you help me with KYC verification was unsuccessful,Sensitive
I need help regarding verify my identity for my account,Sensitive
Can you help me with salary credit is delayed,General
Can you help me with order a new cheque book,General
Can you help me with debit card details may have been stolen,Fraud
forgot internet banking password,General
Can you help me with update personal information for KYC,Sensitive
Please provide information about know bank transfer charges,General
Please help me with download my bank statement,General
my card was used by someone else,Fraud
I need help regarding unknown UPI transaction,Fraud
activate my debit card,General
Can you help me with account is showing negative balance,General
Please help me with submitted KYC documents,Sensitive
Please help me with check transaction history,General
Please help me with unknown withdrawal from my account,Fraud
I need help regarding I noticed a fraudulent transaction,Fraud
Please help me with unknown withdrawal from my account,Fraud
help with KYC verification,Sensitive
I need help regarding unknown UPI transaction,Fraud
Please provide information about unauthorized payment in my account,Fraud
Can you help me with company account KYC documents were submitted,Sensitive
Can you help me with account is showing negative balance,General
Please provide information about check my account balance,General
Please help me with download my bank statement,General
I need help regarding personal loan was approved but I have not received the amount,Sensitive
I need help regarding someone made a payment using my debit card,Fraud
Please provide information about someone may have hacked my banking account,Fraud
Please provide information about know bank transfer charges,General
Please provide information about I did not make this transaction,Fraud
Please provide information about know bank transfer charges,General
Please provide information about someone may have hacked my banking account,Fraud
I need help regarding money withdrawn without authorization,Fraud
Can you help me with order a new cheque book,General
change communication address,General
activate my debit card,General
Please provide information about someone may have hacked my banking account,Fraud
Please help me with UPI ID was used to transfer money without my knowledge,Fraud
I need help regarding change registered email address,General
Please provide information about documents required for KYC verification,Sensitive
Can you help me with salary credit is delayed,General
Please help me with check transaction history,General
Please provide information about unauthorized online purchase,Fraud
Can you help me with someone stole money from my bank account,Fraud
Please provide information about how long loan verification takes,Sensitive
Can you help me with cheque is taking long to clear,General
I need help regarding personal loan was approved but I have not received the amount,Sensitive
Please provide information about check account balance,General
Please help me with cash withdrawal failed,General
I need help regarding someone made a payment using my debit card,Fraud
loan application is still under review,Sensitive
loan application is still under review,Sensitive
someone used my credit card online without permission,Fraud
I need help regarding transfer money between my accounts,General
Please help me with UPI ID was used to transfer money without my knowledge,Fraud
Please help me with check transaction history,General
Can you help me with debit card details may have been stolen,Fraud
Can you help me with company account KYC documents were submitted,Sensitive
Please help me with download my bank statement,General
I need help regarding personal loan was approved but I have not received the amount,Sensitive
loan application is still under review,Sensitive
Please help me with unknown person used my card,Fraud
Please help me with unknown withdrawal from my account,Fraud
Can you help me with update personal information for KYC,Sensitive
Can you help me with suspicious transaction in my statement,Fraud
Please help me with update my KYC details,Sensitive
change communication address,General
Can you help me with debit card details may have been stolen,Fraud
Please provide information about I did not make this transaction,Fraud
Can you help me with someone stole money from my bank account,Fraud
Please provide information about unauthorized online purchase,Fraud
I need help regarding business loan application needs verification,Sensitive
I need help regarding transfer money between my accounts,General
my card was used by someone else,Fraud
credit card charged for something I did not buy,Fraud
I need help regarding KYC is showing as incomplete,Sensitive
Can you help me with suspicious transaction in my statement,Fraud
Can you help me with debit card details may have been stolen,Fraud
I need help regarding I noticed a fraudulent transaction,Fraud
Can you help me with suspicious transaction in my statement,Fraud
Can you help me with KYC verification was unsuccessful,Sensitive
Please help me with KYC documents need to be updated,Sensitive
credit card charged for something I did not buy,Fraud
Please help me with unknown person used my card,Fraud
I need help regarding money withdrawn without authorization,Fraud
Can you help me with account is showing negative balance,General
credit card charged for something I did not buy,Fraud
I need help regarding someone made a payment using my debit card,Fraud
Can you help me with suspicious transaction in my statement,Fraud
someone used my credit card online without permission,Fraud
help with KYC verification,Sensitive
applied for a business loan and need an update,Sensitive
Can you help me with someone stole money from my bank account,Fraud
Please provide information about reset my banking PIN,General
Please provide information about check account balance,General
I need help regarding update my mobile number,General
Please provide information about loan application is pending,Sensitive
Can you help me with someone stole money from my bank account,Fraud
I need help regarding KYC is showing as incomplete,Sensitive
I need help regarding money withdrawn without authorization,Fraud
applied for a business loan and need an update,Sensitive
Please help me with update my KYC details,Sensitive
Can you help me with company account KYC documents were submitted,Sensitive
forgot internet banking password,General
I need help regarding money withdrawn without authorization,Fraud
forgot internet banking password,General
I need help regarding business loan application needs verification,Sensitive
Please provide information about unauthorized online purchase,Fraud
Can you help me with order a new cheque book,General
change communication address,General
I need help regarding change registered email address,General
Can you help me with unauthorized transaction on my account,Fraud
Please provide information about documents required for KYC verification,Sensitive
Please provide information about how long loan verification takes,Sensitive
transaction I did not make,Fraud
Please help me with cash withdrawal failed,General
change communication address,General
I need help regarding personal loan was approved but I have not received the amount,Sensitive
Can you help me with complete my account verification,Sensitive
Please help me with NEFT transfer was delayed,General
Please provide information about check account balance,General
Please provide information about documents required for KYC verification,Sensitive
Please help me with unknown person used my card,Fraud
Please help me with download my bank statement,General
I need help regarding business loan application needs verification,Sensitive
Please help me with UPI ID was used to transfer money without my knowledge,Fraud
applied for a business loan and need an update,Sensitive
unable to login to net banking,General
I need help regarding personal loan was approved but I have not received the amount,Sensitive
Can you help me with update personal information for KYC,Sensitive
someone used my credit card online without permission,Fraud
Please provide information about documents needed for loan,Sensitive
account verification is pending,Sensitive
Please help me with someone transferred money without permission,Fraud
I need help regarding transfer money between my accounts,General
Please help me with check transaction history,General
Please help me with NEFT transfer was delayed,General
transaction I did not make,Fraud
Please help me with submitted KYC documents,Sensitive
Can you help me with company account KYC documents were submitted,Sensitive
Can you help me with company account KYC documents were submitted,Sensitive
Please help me with cash withdrawal failed,General
Please help me with submitted KYC documents,Sensitive
Can you help me with complete my account verification,Sensitive
Can you help me with cheque is taking long to clear,General
Please provide information about documents needed for loan,Sensitive
Please provide information about check my account balance,General
Can you help me with unauthorized transaction on my account,Fraud
Can you help me with order a new cheque book,General
Please provide information about documents required for KYC verification,Sensitive
Can you help me with unauthorized transaction on my account,Fraud
Please provide information about loan application is pending,Sensitive
loan application is still under review,Sensitive
I need help regarding money withdrawn without authorization,Fraud
Can you help me with account is showing negative balance,General
credit card charged for something I did not buy,Fraud
I need help regarding I noticed a fraudulent transaction,Fraud
help with KYC verification,Sensitive
I need help regarding change registered email address,General
activate my debit card,General
Please provide information about documents required for KYC verification,Sensitive
Please provide information about check my account balance,General
Please provide information about check my account balance,General
Please provide information about documents needed for loan,Sensitive
Please help me with unknown person used my card,Fraud
unable to login to net banking,General
I need help regarding someone made a payment using my debit card,Fraud
account verification is pending,Sensitive
Please help me with submitted KYC documents,Sensitive
I need help regarding unknown UPI transaction,Fraud
